omega_sigma,eps020_n50,eps005_n200,eps001_n1000
0.01,0.99990003,0.9999001,0.9999005
0.011296429,0.99987244,0.99987256,0.9998732
0.012760931,0.99983723,0.99983743,0.99983848
0.014415295,0.99979232,0.99979264,0.99979435
0.016284135,0.99973502,0.99973555,0.99973831
0.018395258,0.99966194,0.99966279,0.99966727
0.020780073,0.99956871,0.9995701,0.99957736
0.023474061,0.99944982,0.99945207,0.99946382
0.026517307,0.99929822,0.99930187,0.99932083
0.029955087,0.99910495,0.99911089,0.99914141
0.033838552,0.99885862,0.99886826,0.99891726
0.038225479,0.99854478,0.99856042,0.99863878
0.043181141,0.99814509,0.99817043,0.99829515
0.04877927,0.99763636,0.99767735,0.99787473
0.055103156,0.99698929,0.99705548,0.99736565
0.062246888,0.996167,0.99627363,0.99675687
0.070316755,0.99512321,0.99529453,0.99603969
0.079432823,0.99380018,0.99407445,0.99520952
0.089730725,0.99212627,0.99256342,0.99426793
0.10136368,0.9900133,0.99070623,0.99322427
0.11450476,0.98735387,0.98844483,0.99209661
0.12934949,0.98401892,0.98572239,0.99091127
0.14611873,0.97985603,0.98248944,0.98970082
0.16506198,0.97468936,0.97871201,0.98850066
0.1864611,0.96832235,0.97438114,0.98734504
0.21063445,0.96054452,0.9695222,0.98626325
0.23794172,0.95114427,0.96420155,0.98527698
0.26878917,0.9399288,0.958528,0.98439921
0.30363578,0.92675171,0.95264687,0.98363462
0.343,0.91154663,0.94672666,0.98298098
0.38746751,0.89436225,0.94094032,0.98243108
0.43769992,0.87539097,0.93544555,0.98197466
0.49444461,0.85498136,0.93036864,0.98160006
0.55854584,0.83362559,0.92579508,0.98129542
0.63095734,0.81191873,0.92176789,0.98104952
0.71275648,0.79049523,0.91829229,0.98085222
0.8051603,0.76995595,0.91534413,0.98069466
0.90954361,0.75080311,0.91287956,0.9805693
1.0274595,0.73339707,0.91084394,0.98046984
1.1606623,0.71794113,0.9091788,0.98039108
1.3111339,0.70449189,0.90782692,0.98032877
1.4811131,0.69298657,0.90673528,0.98027949
1.6731289,0.68327753,0.90585667,0.98024048
1.8900382,0.67516588,0.90515012,0.9802095
2.1350683,0.66842916,0.90458075,0.9801848
2.4118647,0.66284132,0.90411918,0.98016492
2.7245458,0.65818523,0.90374073,0.98014871
3.0777638,0.65425891,0.90342462,0.98013521
3.4767741,0.65087721,0.90315307,0.98012364
3.9275131,0.6478702,0.90291058,0.98011331
4.4366873,0.64507956,0.90268311,0.98010359
5.0118723,0.64235367,0.90245735,0.98009392
5.661626,0.6395418,0.90222,0.98008372
6.3956156,0.63648793,0.90195703,0.98007238
7.2247617,0.63302406,0.90165286,0.98005922
8.1614008,0.62896347,0.90128946,0.98004346
9.2194684,0.62409402,0.90084532,0.98002415
10.414707,0.61817194,0.90029423,0.98000015
11.7649,0.61091704,0.89960372,0.97997001
13.290136,0.60201039,0.89873331,0.97993195
15.013107,0.59109648,0.89763224,0.97988369
16.95945,0.57779218,0.8962367,0.97982235
19.158122,0.56170551,0.89446655,0.97974427
21.641837,0.54246687,0.89222122,0.9796448
24.447547,0.51977422,0.88937497,0.97951801
27.616998,0.49345067,0.88577123,0.97935636
31.197346,0.46350812,0.88121632,0.97915022
35.24186,0.4302045,0.87547267,0.97888734
39.810717,0.39407766,0.86825203,0.97855214
44.971894,0.35593855,0.85920973,0.97812476
50.80218,0.31681397,0.8479414,0.97757995
57.388322,0.27784305,0.83398456,0.97688562
64.828311,0.24014772,0.81682817,0.97600104
73.232841,0.20470738,0.79593414,0.97487457
82.726959,0.17226611,0.77077485,0.97344087
93.451921,0.14328887,0.74088971,0.97161745
105.5673,0.11796686,0.70596046,0.9693005
119.25335,0.096259346,0.66589909,0.96635987
134.7137,0.07795426,0.62093426,0.96263316
152.17837,0.062731411,0.57167418,0.95791907
171.90722,0.050217494,0.51912085,0.9519701
194.19377,0.040027967,0.4646168,0.94448512
219.36961,0.031795246,0.40972192,0.93510282
247.80933,0.025185162,0.35604108,0.92339746
279.93605,0.019904596,0.30504102,0.90887921
316.22777,0.015703104,0.25789952,0.89100254
357.22445,0.012370887,0.21541722,0.86918651
403.53606,0.0097348118,0.17800084,0.84285169
455.85165,0.0076536424,0.14570551,0.81147724
514.94958,0.0060131795,0.11831296,0.77467883
581.70913,0.00472172,0.095421014,0.7323023
657.12359,0.0037060176,0.076526189,0.68451947
742.315,0.0029078118,0.061089681,0.63190384
838.55087,0.0022809118,0.048583834,0.57545882
947.26303,0.0017887891,0.038520911,0.51657569
1070.069,0.0014026131,0.030467915,0.45691425
1208.7958,0.0010996647,0.024051582,0.39822357
1365.5076,0.00086206187,0.018957115,0.34214167
1542.5359,0.00067574355,0.014923399,0.29002125
1742.5148,0.00052966122,0.011736583,0.24281861
1968.4194,0.00041513861,0.0092232248,0.20106013
2223.611,0.0003253654,0.0072437193,0.16487706
2511.8864,0.00025499784,0.005686355,0.13408481
2837.5347,0.00019984411,0.0044621478,0.10827947
3205.4009,0.00015661674,0.0035004699,0.086930201
3620.9584,0.00012273789,0.0027454184,0.06945498
4090.3899,9.6186524e-05,0.0021528415,0.055275325
4620.6799,7.5378226e-05,0.0016879278,0.043851135
5219.7182,5.9071032e-05,0.0013232663,0.034699483
5896.4176,4.6291455e-05,0.001037296,0.027401865
6660.8463,3.6276488e-05,0.00081307072,0.021603931
7524.3777,2.8428122e-05,0.00063728048,0.017010871
8499.8598,2.227768e-05,0.00049947598,0.013380678
9601.8063,1.7457854e-05,0.00039145717,0.010516724
10846.612,1.3680786e-05,0.00030679103,0.0082605231
12252.799,1.0720887e-05,0.00024043198,0.0064851177
13841.287,8.4013662e-06,0.00018842343,0.0050892957
15635.711,6.5836811e-06,0.00014766316,0.003992671
17662.77,5.1592598e-06,0.00011571914,0.0031315844
19952.623,4.0430191e-06,9.068488e-05,0.0024557384
