device,time_ps,log10_relative_counts
DJ-SPAD,90,0.8983050847457628
DJ-SPAD,100,1.1016949152542372
DJ-SPAD,110,1.1
DJ-SPAD,120,2.0
DJ-SPAD,130,2.296610169491525
DJ-SPAD,140,2.6016949152542375
DJ-SPAD,150,3.050847457627119
DJ-SPAD,160,3.5
DJ-SPAD,170,4.0
DJ-SPAD,180,4.4491525423728815
DJ-SPAD,190,4.720338983050848
DJ-SPAD,200,4.983050847457627
DJ-SPAD,210,4.983050847457627
DJ-SPAD,220,4.703389830508475
DJ-SPAD,230,4.271186440677966
DJ-SPAD,240,3.7966101694915255
DJ-SPAD,250,3.4491525423728815
DJ-SPAD,260,3.1525423728813564
DJ-SPAD,270,2.8983050847457625
DJ-SPAD,280,2.703389830508475
DJ-SPAD,290,2.5508474576271185
DJ-SPAD,300,2.3983050847457625
DJ-SPAD,310,2.245762711864407
DJ-SPAD,320,2.101694915254237
DJ-SPAD,330,2.0
DJ-SPAD,340,1.8983050847457628
DJ-SPAD,350,1.7457627118644068
DJ-SPAD,360,1.6016949152542372
DJ-SPAD,370,1.3983050847457625
DJ-SPAD,380,1.2033898305084747
DJ-SPAD,390,1.0847457627118644
DJ-SPAD,400,0.8
MCP,80,0.7966101694915253
MCP,100,0.7
MCP,120,1.0254237288135593
MCP,140,2.0
MCP,160,3.2033898305084745
MCP,175,4.203389830508474
MCP,185,4.703389830508475
MCP,195,4.983050847457627
MCP,205,4.9491525423728815
MCP,215,4.703389830508475
MCP,225,4.4491525423728815
MCP,240,4.0593220338983045
MCP,260,3.9661016949152543
MCP,280,3.847457627118644
MCP,300,3.7033898305084745
MCP,325,3.516949152542373
MCP,350,3.398305084745763
MCP,400,3.2457627118644066
MCP,450,3.050847457627119
MCP,500,2.754237288135593
MCP,550,2.7
MCP,600,2.457627118644068
MCP,650,2.26271186440678
MCP,700,2.0508474576271185
MCP,750,1.9491525423728815
MCP,800,1.8983050847457628
MCP,850,1.7627118644067796
MCP,900,1.5338983050847457
MCP,950,1.3389830508474576
MCP,1000,1.1016949152542372
