omega_tau,G_extrapolated,L_lower
0,0,0
0.25,0.027608543742333,0.0210687070830052
0.5,0.097310954603394,0.0769909010417299
0.75,0.182992676151949,0.151338031735845
1,0.264974891088262,0.228382416293823
1.25,0.334617869312987,0.298366584243007
1.5,0.390328717055476,0.35728744867023
1.75,0.433451815938167,0.404656294501596
2,0.466082898053827,0.441560463830789
2.25,0.490207303931945,0.469544915468257
2.5,0.507453160852556,0.490103248855098
2.75,0.519076398539939,0.504498561390889
3,0.526017217364948,0.513733561788923
3.25,0.528968956810573,0.518577780044768
3.5,0.528439022489832,0.519610950986407
3.75,0.52479834962253,0.517266773843503
4,0.518322217252796,0.511872432955444
4.25,0.509224894398456,0.503683836054852
4.5,0.497690457970548,0.492918150149741
4.75,0.4839029557947,0.479785524399349
5,0.46807772435716,0.464521501827452
5.25,0.450493828059679,0.447420659930778
5.5,0.431526796478634,0.428870388313272
5.75,0.41167844689977,0.409381305966825
6,0.391596740690799,0.38960779019716
7,0.326144251806521,0.324959951088718
8,0.319985909502672,0.319091759040063
9,0.364635300969809,0.363804978379822
10,0.405982097384541,0.405217822252461
11,0.413826554373361,0.413183306181526
12,0.3892844540186,0.388785616285999
13,0.353268005016395,0.352894122247014
14,0.336884324328386,0.336582096237207
15,0.353279086432309,0.35299620780446
16,0.381971202184733,0.381691783068417
17,0.396509152666506,0.396247521911807
18,0.387678706494336,0.38745411976644
19,0.364392212094228,0.364212435462943
20,0.347184604802691,0.347038245462017
22,0.371248546541143,0.371105872518756
25,0.370449325407747,0.370342413778566
30,0.38360039460512,0.383509503709538
40,0.359899873216546,0.359872658160784
50,0.370351045983571,0.370320875255699
